[oakridgepc:21673] *** Process received signal ***
[oakridgepc:21673] Signal: Segmentation fault (11)
[oakridgepc:21673] Signal code: Address not mapped (1)
[oakridgepc:21673] Failing at address: (nil)
[oakridgepc:21673] [ 0] /lib/x86_64-linux-gnu/libc.so.6(+0x3ef20)[0x7f768e3caf20]
[oakridgepc:21673] [ 1] /lib/x86_64-linux-gnu/libc.so.6(+0x451b0)[0x7f768e3d11b0]
[oakridgepc:21673] [ 2] /lib/x86_64-linux-gnu/libc.so.6(atoi+0x10)[0x7f768e3cc690]
[oakridgepc:21673] [ 3] /home/4yc/dev/gray-scott-viz/vtkh/build/gray-scott-vtkh(main+0x31f)[0x55bc69556de2]
[oakridgepc:21673] [ 4] /lib/x86_64-linux-gnu/libc.so.6(__libc_start_main+0xe7)[0x7f768e3adb97]
[oakridgepc:21673] [ 5] /home/4yc/dev/gray-scott-viz/vtkh/build/gray-scott-vtkh(_start+0x2a)[0x55bc695567da]
[oakridgepc:21673] *** End of error message ***
--------------------------------------------------------------------------
mpirun noticed that process rank 0 with PID 0 on node oakridgepc exited on signal 11 (Segmentation fault).
--------------------------------------------------------------------------
